Data;Acao;Retorno
2018-10-01;PETR4.SA;30.962567281171218
2018-11-01;PETR4.SA;-7.820434175393531
2018-12-01;PETR4.SA;-10.563748552139385
2019-01-01;PETR4.SA;16.66585100511455
2019-02-01;PETR4.SA;5.785769798432816
2019-03-01;PETR4.SA;3.6954994958400045
2019-04-01;PETR4.SA;-3.3856044698532872
2019-05-01;PETR4.SA;-5.688193546253051
2019-06-01;PETR4.SA;7.686364074097418
2019-07-01;PETR4.SA;-4.852269316022784
2019-08-01;PETR4.SA;-2.223912979406828
2019-09-01;PETR4.SA;8.888238554862848
2019-10-01;PETR4.SA;10.30853038466657
2019-11-01;PETR4.SA;-4.0802865258737775
2019-12-01;PETR4.SA;4.221172579183485
2020-01-01;PETR4.SA;-4.427639758029123
2020-02-01;PETR4.SA;-10.9314757833049
2020-03-01;PETR4.SA;-44.79085224872814
2020-04-01;PETR4.SA;29.02073850223914
2020-05-01;PETR4.SA;12.68696163695453
2020-06-01;PETR4.SA;5.948885899252665
2020-07-01;PETR4.SA;3.0162639474988318
2020-08-01;PETR4.SA;-1.394438572834289
2020-09-01;PETR4.SA;-10.415705010325581
2020-10-01;PETR4.SA;-3.416625865920364
2020-11-01;PETR4.SA;31.467775225572446
2020-12-01;PETR4.SA;13.815277063609699
2021-01-01;PETR4.SA;-5.8221584222717055
2021-02-01;PETR4.SA;-16.672903774958815
2021-03-01;PETR4.SA;8.363301804457922
2021-04-01;PETR4.SA;-1.991700373573524
2021-05-01;PETR4.SA;17.588204081937686
2021-06-01;PETR4.SA;9.527312624515204
2021-07-01;PETR4.SA;-8.562683382764114
2021-08-01;PETR4.SA;1.040512584948794
2021-09-01;PETR4.SA;6.111842466129125
2021-10-01;PETR4.SA;-0.2937778579687689
2021-11-01;PETR4.SA;8.397783703407026
2021-12-01;PETR4.SA;-3.1600307633161684
2022-01-01;PETR4.SA;27.511240661372405
2022-02-01;PETR4.SA;5.100478210717996
2022-03-01;PETR4.SA;-1.6176303449796925
2022-04-01;PETR4.SA;-9.476835805684814
2022-05-01;PETR4.SA;8.604752245497039
2022-06-01;PETR4.SA;3.5414119707174896
2022-07-01;PETR4.SA;22.269999976122822
