Data;Acao;Retorno
2017-07-01;PETR4.SA;7.437346563634217
2017-08-01;PETR4.SA;2.708786901052762
2017-09-01;PETR4.SA;12.08792127842413
2017-10-01;PETR4.SA;9.607849842791726
2017-11-01;PETR4.SA;-8.288573956760404
2017-12-01;PETR4.SA;4.681353143479239
2018-01-01;PETR4.SA;22.360270529117333
2018-02-01;PETR4.SA;8.934003590918582
2018-03-01;PETR4.SA;-0.23298637568317515
2018-04-01;PETR4.SA;7.286285442899554
2018-05-01;PETR4.SA;-17.370461133473626
2018-06-01;PETR4.SA;-9.249830584593422
2018-07-01;PETR4.SA;14.717832986201817
2018-08-01;PETR4.SA;-2.3326448225721275
2018-09-01;PETR4.SA;9.775446094615559
2018-10-01;PETR4.SA;30.96255747952292
2018-11-01;PETR4.SA;-7.820434175393531
2018-12-01;PETR4.SA;-10.563736152754966
2019-01-01;PETR4.SA;16.665848694571995
2019-02-01;PETR4.SA;5.785769110883443
2019-03-01;PETR4.SA;3.6954653801751336
2019-04-01;PETR4.SA;-3.3855943702161384
2019-05-01;PETR4.SA;-5.688182971264755
2019-06-01;PETR4.SA;7.686364074097418
2019-07-01;PETR4.SA;-4.852236194655157
2019-08-01;PETR4.SA;-2.223935412221323
2019-09-01;PETR4.SA;8.888225632651503
2019-10-01;PETR4.SA;10.308541283372797
2019-11-01;PETR4.SA;-4.08031576333795
2019-12-01;PETR4.SA;4.221163148292506
2020-01-01;PETR4.SA;-4.427611420908761
2020-02-01;PETR4.SA;-10.931486124475642
2020-03-01;PETR4.SA;-44.79083422839496
2020-04-01;PETR4.SA;29.020700854607394
2020-05-01;PETR4.SA;12.687011569483598
2020-06-01;PETR4.SA;5.948847587019945
2020-07-01;PETR4.SA;3.016270773633112
2020-08-01;PETR4.SA;-1.3944451067031238
2020-09-01;PETR4.SA;-10.41569829035115
2020-10-01;PETR4.SA;-3.4166406122009274
2020-11-01;PETR4.SA;31.46778543620656
2020-12-01;PETR4.SA;13.815265248328856
2021-01-01;PETR4.SA;-5.8221382644683795
2021-02-01;PETR4.SA;-16.67291295999679
2021-03-01;PETR4.SA;8.363295190239771
2021-04-01;PETR4.SA;-1.9917249101177759
2021-05-01;PETR4.SA;17.58822824206774
2021-06-01;PETR4.SA;9.527345411289412
2021-07-01;PETR4.SA;-8.562710739933198
2021-08-01;PETR4.SA;1.0405126950016053
2021-09-01;PETR4.SA;6.111874509514914
2021-10-01;PETR4.SA;-0.2937778000067448
2021-11-01;PETR4.SA;8.397782041653157
2021-12-01;PETR4.SA;-3.1600484414436636
2022-01-01;PETR4.SA;27.51126893739464
2022-02-01;PETR4.SA;5.10045490435862
2022-03-01;PETR4.SA;-1.6176444110858945
2022-04-01;PETR4.SA;-9.476837160624708
2022-05-01;PETR4.SA;8.604753604546712
2022-06-01;PETR4.SA;3.5414342999425585
2022-07-01;PETR4.SA;22.269977344076274
2022-08-01;PETR4.SA;-2.6940006844072606
2022-09-01;PETR4.SA;10.130363987150703
2022-10-01;PETR4.SA;0.033551485880622955
2022-11-01;PETR4.SA;-10.566914585779196
2022-12-01;PETR4.SA;-1.6819627835659712
2023-01-01;PETR4.SA;6.40815176244236
2023-02-01;PETR4.SA;-3.1837225906365174
2023-03-01;PETR4.SA;-7.091914169751212
2023-04-01;PETR4.SA;1.0660854706948886
2023-05-01;PETR4.SA;24.148767213770284
2023-06-01;PETR4.SA;13.05512997420264
2023-07-01;PETR4.SA;12.249310228667753
2023-08-01;PETR4.SA;2.667949707445594
2023-09-01;PETR4.SA;12.587440146910822
2023-10-01;PETR4.SA;0.28867904949672063
2023-11-01;PETR4.SA;3.3678778635642725
2023-12-01;PETR4.SA;7.767979922430235
